#Sample Identifier	Patient Identifier	Tissue Supergroup	Metastatic Tissue Site	Primary Tissue Site	Oncotree Code	Freeze Media	Final Analysis Set	CCLE ID	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic Status	DepMap ID
#Sample identifier	Patient identifier	Sample tissue supergroup	Metastatic tissue site	Primary tissue site	Oncotree code	Cell line freeze media	Indicates if the sample was included in the final analysis set	CCLE ID 	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic status 	DepMap ID mapping for cell lines included in the DepMap CCLE study 
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
#1	0	0	1	1	1	0	1	0	0	1	1	1	0
SAMPLE_ID	PATIENT_ID	TISSUE_SUPERGROUP	METASTATIC_SITE	PRIMARY_SITE	ONCOTREE_CODE	FREEZE_MEDIA	ANALYSIS_SET	CCLE_ID	SANGER_ID	CANCER_TYPE	CANCER_TYPE_DETAILED	SOMATIC_STATUS	SAMPLE_DISPLAY_NAME
S-HuH-7	P-HuH-7	Liver	NA	Liver	HCC	90% FBS; 10% DMSO	True	HuH-7	HuH-7	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	HUH7_LIVER
S-HUS-T3	P-HUP-T3	Pancreas	NA	Pancreas	PAAD	Complete growth medium, 90%; DMSO, 10%	True	HUP-T3	HuP-T3	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	HUPT3_PANCREAS
S-HUS-T4	P-HUP-T4	Pancreas	Ascites	Pancreas	PANCREAS	Complete growth medium, 90%; DMSO, 10%	True	HUP-T4	HuP-T4	Pancreatic Cancer	Pancreas	Matched	HUPT4_PANCREAS
S-IGR-37	P-IGR-37	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	IGR-37	NA	Melanoma	Melanoma	Matched	IGR37_SKIN
S-IGROV-1	P-IGROV-1	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	IGROV1	IGROV-1	Ovarian Cancer	Ovarian Cancer, Other	Matched	IGROV1_OVARY
S-IM-95	P-IM-95	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	IM95	NA	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	IM95_STOMACH
S-IM-95m	P-IM-95m	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	
S-IMR-32	P-IMR-32	Brain	NA	Brain	NBL	Complete growth medium, 90%; DMSO, 10%	True	IMR-32	NA	Peripheral Nervous System	Neuroblastoma	Matched	IMR32_AUTONOMIC_GANGLIA
S-IPC-298	P-IPC-298	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	IPC-298	IPC-298	Melanoma	Melanoma	Matched	IPC298_SKIN
S-JEKO-1	P-JEKO-1	Lymphoid	NA	Lymph Node	LNM	Complete growth medium, 90%; DMSO, 10%	True	JeKo-1	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-JHH-1	P-JHH-1	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	JHH-1	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	JHH1_LIVER
S-JHH-2	P-JHH-2	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	JHH-2	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	JHH2_LIVER
S-JHH-4	P-JHH-4	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	JHH-4	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	JHH4_LIVER
S-JHH-5	P-JHH-5	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	JHH-5	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	JHH5_LIVER
S-JHH-7	P-JHH-7	Liver	NA	Liver	HCC	Complete growth medium, 90%; DMSO, 10%	True	JHH-7	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	Matched	JHH7_LIVER
S-JIMT-1	P-JIMT-1	Breast	Effusion, Pleural	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	JIMT-1	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	JIMT1_BREAST
S-Jiyoye	P-Jiyoye	Lymphoid	NA	Blood	BL	Complete growth medium, 90%; DMSO, 10%	True	NA	JiyoyeP-2003	Mature B-Cell Neoplasms	Burkitt Lymphoma	Matched	
S-JJ012	P-JJ012	Sarcomatoid	NA	Cartilage	CHS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Bone Cancer	Chondrosarcoma	Matched	
S-JJN-3	P-JJN-3	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	JJN-3	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-JL-1	P-JL-1	Other	NA	Pleura	PLMESO	Complete growth medium, 90%; DMSO, 10%	True	JL-1	NA	Mesothelioma	Pleural Mesothelioma	Matched	JL1_PLEURA
S-Jurkat-CloneE6-1	P-Jurkat-CloneE6-1	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	
S-K-562	P-K-562	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	K-562	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KARPAS-1106P	P-KARPAS-1106P	Lymphoid	NA	Lymph Node	MBN	RPMI-1640 70% 20% HI FBS, DMSO, 10%	True	NA	NA	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Matched	
S-KARPAS-422	P-KARPAS-422	Lymphoid	NA	Blood	NHL	HI FBS, 90%; DMSO, 10%	True	KARPAS-422	KARPAS-422	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	Matched	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KARPAS-620	P-KARPAS-620	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	KARPAS-620	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-Kasumi-1	P-Kasumi-1	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	KASUMI-1	KASUMI-1	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KATO-III	P-KATO-III	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	KATO III	KATOIII	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	KATOIII_STOMACH
S-KCI-MOH1	P-KCI-MOH1	Pancreas	NA	Pancreas	PAAD	Complete growth medium, 90%; DMSO, 10%	True	KCI-MOH1	NA	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	KCIMOH1_PANCREAS
S-KELLY	P-KELLY	Brain	NA	Brain	NBL	Complete growth medium, 90%; DMSO, 10%	True	KELLY	NA	Peripheral Nervous System	Neuroblastoma	Matched	KELLY_AUTONOMIC_GANGLIA
S-KG-1	P-KG-1	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	KG-1	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KHM-1B	P-KHM-1B	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KHM-1B	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KLE	P-KLE	Uterus	NA	Uterus	UCEC	Complete growth medium, 90%; DMSO, 10%	True	KLE	NA	Endometrial Cancer	Endometrial Carcinoma	Matched	KLE_ENDOMETRIUM
S-KLM-1	P-KLM-1	Pancreas	NA	Pancreas	PANCREAS	Complete growth medium, 90%; DMSO, 10%	True	KLM-1	NA	Pancreatic Cancer	Pancreas	Matched	KLM1_PANCREAS
S-KM-12	P-KM-12	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	KM12	KM12	Colorectal Cancer	Colon Adenocarcinoma	Matched	KM12_LARGE_INTESTINE
S-KMM-1	P-KMM-1	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMM-1	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-11	P-KMS-11	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-11	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-12-BM	P-KMS-12-BM	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-12-BM	KMS-12-BM	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-12-PE	P-KMS-12-PE	Lymphoid	NA	Bone Marrow	PCM	Complete growth medium, 90%; DMSO, 10%	False	NA	KMS-12-PE	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	
S-KMS-21BM	P-KMS-21BM	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-21BM	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-26	P-KMS-26	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-26	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-27	P-KMS-27	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-27	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-28BM	P-KMS-28BM	Lymphoid	Bone Marrow	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-28BM	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KMS-28PE	P-KMS-28PE	Lymphoid	Pleura	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	
S-KMS-34	P-KMS-34	Lymphoid	Pleura	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	KMS-34	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KNS-62	P-KNS-62	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	KNS-62	KNS-62	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	KNS62_LUNG
S-KS-2	P-KP-2	Pancreas	NA	Pancreas	PANCREAS	Complete growth medium, 90%; DMSO, 10%	True	KP-2	NA	Pancreatic Cancer	Pancreas	Matched	KP2_PANCREAS
S-KS-3	P-KP-3	Pancreas	NA	Pancreas	PAASC	Complete growth medium, 90%; DMSO, 10%	True	KP-3	NA	Pancreatic Cancer	Adenosquamous Carcinoma of the Pancreas	Matched	KP3_PANCREAS
S-KP4	P-KP4	Pancreas	NA	Pancreas	PAAD	90% Complete growth media; 10% DMSO	True	KP4	KP-4	Pancreatic Cancer	Pancreatic Adenocarcinoma	Matched	KP4_PANCREAS
S-KPL-1	P-KPL-1	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	False	KPL-1	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	KPL1_BREAST
S-KPL-4	P-KPL-4	Breast	Effusion, Pleural	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	
S-KU812	P-KU812	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	KU812	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-KURAMOCHI	P-KURAMOCHI	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	KURAMOCHI	KURAMOCHI	Ovarian Cancer	Ovarian Cancer, Other	Matched	KURAMOCHI_OVARY
S-KYSE-140	P-KYSE-140	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-140	KYSE-140	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE140_OESOPHAGUS
S-KYSE-150	P-KYSE-150	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-150	KYSE-150	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE150_OESOPHAGUS
S-KYSE-180	P-KYSE-180	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-180	KYSE-180	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE180_OESOPHAGUS
S-KYSE-270	P-KYSE-270	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-270	KYSE-270	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE270_OESOPHAGUS
S-KYSE-30	P-KYSE-30	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-30	NA	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE30_OESOPHAGUS
S-KYSE-450	P-KYSE-450	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-450	KYSE-450	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE450_OESOPHAGUS
S-KYSE-510	P-KYSE-510	Head-Neck		Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-510	KYSE-510	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE510_OESOPHAGUS
S-KYSE-520	P-KYSE-520	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-520	KYSE-520	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE520_OESOPHAGUS
S-KYSE-70	P-KYSE-70	Head-Neck	NA	Esophagus	ESCC	Complete growth medium, 90%; DMSO, 10%	True	KYSE-70	KYSE-70	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Matched	KYSE70_OESOPHAGUS
S-L-363	P-L-363	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	L-363	L-363	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-LCLC-103H	P-LCLC-103H	Lung	NA	Lung	LCLC	Complete growth medium, 90%; DMSO, 10%	True	LCLC-103H	LCLC-103H	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Matched	LCLC103H_LUNG
S-LCLC-97TM1	P-LCLC-97TM1	Lung	NA	Lung	LCLC	Complete growth medium, 90%; DMSO, 10%	True	LCLC-97TM1	LCLC-97TM1	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Matched	LCLC97TM1_LUNG
S-LN-18	P-LN-18	Brain	NA	Brain	GNOS	90% FBS; 10% DMSO	True	LN-18	NA	Glioma	Glioma, NOS	Matched	LN18_CENTRAL_NERVOUS_SYSTEM
S-LN-229	P-LN-229	Brain	NA	Brain	GNOS	90% FBS; 10% DMSO	True	LN-229	NA	Glioma	Glioma, NOS	Matched	LN229_CENTRAL_NERVOUS_SYSTEM
S-LNCAP	P-LNCAP	Other	NA	Prostate	PROSTATE	Complete growth medium, 90%; DMSO, 10%	True	LNCaP clone FGC	LNCaP-Clone-FGC	Prostate Cancer	Prostate	Matched	LNCAPCLONEFGC_PROSTATE
S-LOU-NH91	P-LOU-NH91	Lung	NA	Lung	LUSC	Complete growth medium, 90%; DMSO, 10%	True	LOU-NH91	NA	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	Matched	LOUNH91_LUNG
S-LoVo	P-LoVo	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	LoVo	LoVo	Colorectal Cancer	Colon Adenocarcinoma	Matched	LOVO_LARGE_INTESTINE
S-LOX-IMVI	P-LOX-IMVI	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	LOX IMVI	LOXIMVI	Melanoma	Melanoma	Matched	LOXIMVI_SKIN
S-LS-1	P-LP-1	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	LP-1	LP-1	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-LS-174T	P-LS-174T	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	False	NA	LS-174T	Colorectal Cancer	Colon Adenocarcinoma	Matched	
S-LS-180	P-LS-180	Colo-Rectal	NA	Colon	COAD	90% FBS; 10% DMSO	True	LS 180	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	LS180_LARGE_INTESTINE
S-LS1034	P-LS1034	Colo-Rectal	NA	Cecum	COADREAD	 90% FBS; 10% DMSO	True	LS1034	LS-1034	Colorectal Cancer	Colorectal Adenocarcinoma	Matched	LS1034_LARGE_INTESTINE
S-LXF-289	P-LXF-289	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	LXF-289	LXF-289	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	LXF289_LUNG
S-LXFL529	P-LXFL529	Lung	NA	Lung	NSCLC	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Matched	
S-M059J	P-M059J	Brain	NA	Brain	GB	Complete growth medium, 90%; DMSO, 10%	False	NA	M059J	Glioma	Glioblastoma, IDH-wildtype	Matched	
S-M059K	P-M059K	Brain	NA	Brain	GB	Complete growth medium, 90%; DMSO, 10%	True	M059K	NA	Glioma	Glioblastoma, IDH-wildtype	Matched	M059K_CENTRAL_NERVOUS_SYSTEM
S-MC116	P-MC116	Lymphoid	Ascites	Lymph Node	LNM	Complete growth medium, 90%; DMSO, 10%	True	MC116	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-MCAS	P-MCAS	Ovary	NA	Ovary	OOVC	Complete growth medium, 90%; DMSO, 10%	True	MCAS	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	MCAS_OVARY
S-MCF10A	P-MCF10A	Breast	NA	Breast	BREAST	50% FBS, 40% complete media, 10% DMSO	True	NA	NA	Breast Cancer	Breast	Matched	
S-MCF-7	P-MCF-7	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MCF7	MCF7	Breast Cancer	Invasive Breast Carcinoma	Matched	MCF7_BREAST
S-MCF10DCIS-com	P-MCF10DCIS-com	Breast	NA	Breast	BREAST	50% FBS, 40% complete media, 10% DMSO	False	NA	NA	Breast Cancer	Breast	Matched	
S-MDA-MB-134-VI	P-MDA-MB-134-VI	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-134-VI	MDA-MB-134-VI	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB134VI_BREAST
S-MDA-MB-157	P-MDA-MB-157	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-157	MDA-MB-157	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB157_BREAST
S-MDA-MB-175-VII	P-MDA-MB-175-VII	Breast	NA	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-175-VII	MDA-MB-175-VII	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	MDAMB175VII_BREAST
S-MDA-MB-231	P-MDA-MB-231	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-231	MDA-MB-231	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB231_BREAST
S-MDA-MB-330	P-MDA-MB-330	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	
S-MDA-MB-361	P-MDA-MB-361	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-361	MDA-MB-361	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB361_BREAST
S-MDA-MB-415	P-MDA-MB-415	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-415	MDA-MB-415	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB415_BREAST
S-MDA-MB-435	P-MDA-MB-435	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	MDA-MB-435	Melanoma	Melanoma	Matched	
S-MDA-MB-436	P-MDA-MB-436	Breast	Effusion, Pleural	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-436	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB436_BREAST
S-MDA-MB-453	P-MDA-MB-453	Breast	Effusion, Pericardial	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-453	MDA-MB-453	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB453_BREAST
S-MDA-MB-468	P-MDA-MB-468	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	True	MDA-MB-468	MDA-MB-468	Breast Cancer	Invasive Breast Carcinoma	Matched	MDAMB468_BREAST
S-MDST8	P-MDST8	Colo-Rectal	NA	Colon	COAD	Complete growth medium, 90%; DMSO, 10%	True	MDST8	NA	Colorectal Cancer	Colon Adenocarcinoma	Matched	MDST8_LARGE_INTESTINE
S-ME-1	P-ME-1	Lymphoid	NA	Bone Marrow	LNM	Complete growth medium, 90%; DMSO, 10%	True	ME-1	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-ME-180	P-ME-180	Cervix	NA	Cervix	CEAD	Complete growth medium, 90%; DMSO, 10%	True	NA	ME-180	Cervical Cancer	Cervical Adenocarcinoma	Matched	
S-MEL-HO	P-MEL-HO	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	MEL-HO	MEL-HO	Melanoma	Melanoma	Matched	MELHO_SKIN
S-MeWo	P-MeWo	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	MeWo	Mewo	Melanoma	Melanoma	Matched	MEWO_SKIN
S-MFM-223	P-MFM-223	Breast	Effusion, Pleural	Breast	DCIS	Complete growth medium, 90%; DMSO, 10%	True	NA	MFM-223	Breast Cancer	Breast Ductal Carcinoma In Situ	Matched	
S-MG-63	P-MG-63	Sarcomatoid	NA	Bone	OS	Complete growth medium, 90%; DMSO, 10%	True	MG-63	MG-63	Bone Cancer	Osteosarcoma	Matched	MG63_BONE
S-MHH-ES-1	P-MHH-ES-1	Sarcomatoid	NA	Bone	ES	90% FBS; 10% DMSO	True	MHH-ES-1	MHH-ES-1	Bone Cancer	Ewing Sarcoma	Matched	MHHES1_BONE
S-MHH-NB-11	P-MHH-NB-11	Brain	NA	Brain	NBL	Complete growth medium, 90%; DMSO, 10%	True	MHH-NB-11	MHH-NB-11	Peripheral Nervous System	Neuroblastoma	Matched	MHHNB11_AUTONOMIC_GANGLIA
S-MHH-PREB-1	P-MHH-PREB-1	Lymphoid	NA	Lymph Node	MBN	Complete growth medium, 90%; DMSO, 10%	True	NA	MHH-PREB-1	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Matched	
S-MIA-Paca-2	P-MIA-Paca-2	Pancreas	NA	Pancreas	PANCREAS	90% FBS; 10% DMSO	True	MIA PaCa-2	MIA-PaCa-2	Pancreatic Cancer	Pancreas	Matched	MIAPACA2_PANCREAS
S-MKN-1	P-MKN-1	Stomach	NA	Stomach	STAS	Complete growth medium, 90%; DMSO, 10%	True	MKN1	MKN1	Esophagogastric Cancer	Adenosquamous Carcinoma of the Stomach	Matched	MKN1_STOMACH
S-MKN-45	P-MKN-45	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	False	MKN-45	MKN45	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	MKN45_STOMACH
S-MKN-7	P-MKN-7	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	MKN7	MKN7	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	MKN7_STOMACH
S-MKN-74	P-MKN-74	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	MKN74	NA	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	MKN74_STOMACH
S-ML-2	P-ML-2	Lymphoid	NA	Bone Marrow	LNM	Complete growth medium, 90%; DMSO, 10%	True	NA	ML-2	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	
S-MM-1S	P-MM-1S	Lymphoid	NA	Blood	PCM	NA	True	MM1-S	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-MOLM-16	P-MOLM-16	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	MOLM-16	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-MOLS-2	P-MOLP-2	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	MOLP-2	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-MOLS-8	P-MOLP-8	Lymphoid	NA	Blood	PCM	Complete growth medium, 90%; DMSO, 10%	True	MOLP-8	NA	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Matched	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
S-MOR	P-MOR	Lung	NA	Lung	LUAD	Complete growth medium, 90%; DMSO, 10%	True	MOR/CPR	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Matched	MORCPR_LUNG
S-MS751	P-MS751	Cervix	NA	Cervix	CEAD	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Cervical Cancer	Cervical Adenocarcinoma	Matched	
S-MT-3	P-MT-3	Breast	NA	Breast	BRCA	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Breast Cancer	Invasive Breast Carcinoma	Matched	
S-MV-4-11	P-MV-4-11	Lymphoid	NA	Blood	LNM	Complete growth medium, 90%; DMSO, 10%	True	MV-4-11	NA	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Matched	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
