NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	ATTRIBUTE_TYPE	PRIORITY	CATEGORY	VOCABULARY	COLOR	FLAG
MVEGF	Mvegf	Mvegf	NUMBER	PATIENT	1				
MVEGF1	Mvegf1	Mvegf1	NUMBER	PATIENT	1				
MVEGF2	Mvegf2	Mvegf2	NUMBER	PATIENT	1				
MYB_ABNORMALITY	MYB Abnormality	MYB Abnormality	STRING	SAMPLE	1				
MYB_ACTIVATION	MYB Activation	Presence of MYB activation	STRING	PATIENT	1				
MYB_FISH	MYB FISH probe	MYB FISH probe	STRING	SAMPLE	1				
MYB_IHC	MYB-IHC	MYB-IHC	STRING	SAMPLE	1				
MYB_MYBL1_FUSION	MYB or MYBL1 Fusion	Description of MYB or MYBL1 fusions identified.	STRING	PATIENT	1				
MYB_MYBL1_FUSION_METHOD	MYB or MYBL1 Fusion Method	Method used to validate MYB or MYBL1 gene fusions.	STRING	PATIENT	1				
MYB_MYBL1_REARRANGEMENT	MYB or MYBL1 Gene Rearrangement	Description of MYB or MYBL1 gene rearrangement(s) identified by RT-PCR/qPCR/WGS.	STRING	PATIENT	1				
MYB_NFIB_CNA	MYB-NFIB Fusion Gene Copy Number Alterations	MYB-NFIB Fusion Gene Copy Number Alterations	STRING	SAMPLE	1				
MYB_NFIB_FISH	MYB-NFIB FISH	MYB-NFIB FISH.	STRING	SAMPLE	1				
MYB_NFIB_NONSYNONYMOUS_COUNT	MYB-NFIB Fusion Gene Non-synonymous Mutations	Count of non-synonymous mutations in MYB-NFIB Fusion Gene	STRING	SAMPLE	1				
MYB_NFIB_REARRANGEMENT	MYB-NFIB Rearrangement	MYB-NFIB Rearrangement Description	STRING	SAMPLE	1				
MYB_NFIB_TRANSCRIPT	MYB-NFIB Transcript	MYB-NFIB Transcript description.	STRING	SAMPLE	1				
MYB_NFIB_TRANSLOCATION	MYB-NFIB Translocation	Description of translocations resulting in MYB-NFIB gene fusions.	STRING	PATIENT	1				
MYB_VALIDATION	MYB Validation Method	Method used for validating MYB activation	STRING	PATIENT	1				
MYCN	MYCN	MYCN.	STRING	SAMPLE	1				
MYCN_AMP	MYCN Amplification	MYCN Amplification	STRING	SAMPLE	1				
MYCN_FISH	MYCN FISH	MYCN FISH	STRING	SAMPLE	1				
MYCOPLASMA_TESTED	Mycoplasma Tested	Mycoplasma Tested	STRING	SAMPLE	1				
MYC_BA	Myc ba	Myc ba	STRING	PATIENT	1				
MYC_REAR	Myc Rearrangements	Myc Rearrangements	STRING	PATIENT	1				
M_SCORE	M Score	M Score	NUMBER	PATIENT	1				
M_STAGE	M Stage	M Stage	STRING	PATIENT	1				
NAACCR_ETHNICITY	NAACCR Ethnicity	NAACCR Ethnicity	NUMBER	PATIENT	1				
NAACCR_RACE	NAACCR Race	NAACCR Race	NUMBER	PATIENT	1				
NADIR_CD4_COUNTS	NADIR CD4 Counts	NADIR CD4 Counts	NUMBER	SAMPLE	1				
NASH	NASH	NASH	STRING	PATIENT	1				
NCNNCT_OTHMETHONSP	Ncnnct othmethonsp	Ncnnct othmethonsp	STRING	PATIENT	1				
NECK_DISSECTION_TYPE	Neck Dissection type	Neck Dissection type	STRING	SAMPLE	1				
NECK_RECURRENCE	Neck Recurrence	Neck Recurrence	STRING	PATIENT	1				
NECK_RFS_MONTHS	Neck Recurrence Free Survival (months)	Neck Recurrence Free Survival (months)	NUMBER	PATIENT	1				
NECROSIS	Necrosis	Necrosis	STRING	SAMPLE	1				
NEOADJUVANT_CHEMO	Neoadjuvant Chemotherapy	Neoadjuvant Chemotherapy.	STRING	PATIENT	1				
NEOADJUVANT_CHEMOTHERAPY_RESPONDER	Responder to Neoadjuvant Chemotherapy	Responder to Neoadjuvant Chemotherapy	STRING	PATIENT	1				
NEOADJUVANT_OR_ADJUVANT	Neoadjuvant or Adjuvant	Neoadjuvant or Adjuvant	STRING	PATIENT	1				
NEOADJUVANT_SYSTEMIC_CHEMO	Neoadjuvant   Systemic Chemotherapy	Neoadjuvant   Systemic Chemotherapy	STRING	PATIENT	1				
NEOADJUVANT_TX	Neoadjuvant Treatment	Neoadjuvant Treatment	STRING	PATIENT	1				
NEOADJ_CHEMO	Neoadjuvant Chemotherapy	Neoadjuvant Chemotherapy.	STRING	PATIENT	1				
NEOADJ_TX_BEFORE_FIRST_SURGERY	Neoadj Systemic Treatment Before First Surgery	Neoadj Systemic Treatment Before First Surgery	STRING	PATIENT	1				
NEOAGCNT	Neo-antigen Load	Number of neoepitops per sample	NUMBER	SAMPLE	1				
NEOANTIGEN_BURDEN	Neoantigen Burden	Neoantigen Burden	NUMBER	PATIENT	1				
NEOCRX	Neocrx	Neocrx	NUMBER	PATIENT	1				
NEORX	Neorx	Neorx	NUMBER	PATIENT	1				
NEPC_SCORE	NEPC Score	NEPC Score	NUMBER	SAMPLE	1				
NEUROENDOCRINE_CARCINOMA	Neuroendocrine carcinoma	Neuroendocrine carcinoma	STRING	PATIENT	1				
NEUROENDOCRINE_FEATURES	Neuroendocrine Features	Neuroendocrine Features	STRING	SAMPLE	1				
NEUTROPHILS	Neutrophils	Neutrophils	NUMBER	SAMPLE	1				
NEW_NEOPLASM_EVENT_OCCURRENCE_ANATOMIC_SITE	New Neoplasm Event Occurence Anatomic Site	New neoplasm event occurence anatomic site	STRING	SAMPLE	1				
NEW_NEOPLASM_EVENT_TYPE	New Neoplasm Event Type	New neoplasm event type.	STRING	SAMPLE	1				
NEW_NEOPLASM_EVENT_TYPE_1	New Neoplasm Event Type 1	New Neoplasm Event Type 1	STRING	PATIENT	1				
NEW_PRIMARY_TESTIS_TUMOR	New Primary testis tumor	New Primary testis tumor	STRING	PATIENT	1				
NEW_TUMOR	Emergence of New Tumor	Emergence of new tumor	STRING	PATIENT	1				
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT	New Neoplasm Event Post Initial Therapy Indicator	Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.	STRING	PATIENT	1				
NEW_TUMOR_EVENT_DX_INDICATOR	New tumor event dx indicator	New tumor event dx indicator	STRING	PATIENT	1				
NEW_TUMOR_EVENT_MELANOMA_COUNT	New tumor event melanoma count	Primary anatomic site count	NUMBER	PATIENT	1				
NEW_TUMOR_EVENT_OTHER_SITE	Other Site of New Tumor Event	Other Site of New Tumor Event	STRING	PATIENT	1				
NEW_TUMOR_EVENT_PRIOR_TO_BCR_TUMOR	New tumor event prior to bcr tumor	New tumor dx prior submitted specimen dx	STRING	PATIENT	1				
NEW_TUMOR_EVENT_SITE	New Tumor Event Site	New Tumor Event Site	STRING	SAMPLE	1				
NEW_TUMOR_EVENT_TYPE	New Tumor Event Type	New Tumor Event Type	STRING	SAMPLE	1				
NF1_GERMLINE	NF1 Germline Mutation	NF1 Germline Mutation	STRING	SAMPLE	1				
NF1_MUTATION	NF1 Mutation	NF1 Mutation	STRING	SAMPLE	1				
NF1_SOMATIC	NF1 Somatic Mutation	NF1 Somatic Mutation	STRING	SAMPLE	1				
NF2_FISH	FISH Test on NF2	FISH Test on NF2	STRING	SAMPLE	1				
NF2_FUSION	NF2 Fusion	NF2 Fusion	STRING	SAMPLE	1				
NF2_STATUS_ARRAY	NF2 status 2.5M array	NF2 status 2.5M array	STRING	SAMPLE	1				
NFIB_FISH	NFIB FISH	NFIB FISH.	STRING	SAMPLE	1				
NFIB_FUSION_OTHER	Other NFIB Fusion	Description of other NFIB fusions.	STRING	PATIENT	1				
NGS_TEST	NGS Tested	Sample was NGS tested	STRING	SAMPLE	1				
NI	Ni	Ni	NUMBER	PATIENT	1				
NK_CELLS_ACTIVATED	NK cells activated	NK cells activated	NUMBER	SAMPLE	1				
NK_CELLS_RESTING	NK cells resting	NK cells resting	NUMBER	SAMPLE	1				
NODAL_DESC	If There Are/Is Metastases To The Regional Nodal Basin	Describes Site of first recurrence of patient��_�s primary melanoma. Describes if there are/is metastases to the regional nodal basin.	STRING	SAMPLE	1				
NODAL_STAGE	Nodal stage	Nodal stage	STRING	PATIENT	1				
NODAL_STATUS	Nodal Status	Nodal Status	STRING	SAMPLE	1				
NODES	NODES	NODES	STRING	SAMPLE	1				
NODES_DETAILS	Nodes Details	Nodes details.	STRING	PATIENT	1				
NODES_EX	Nodes Ex	Nodes Ex	NUMBER	SAMPLE	1				
NODE_CODED	Node-Coded	Node-Coded	STRING	SAMPLE	1				
NODULE_NUMBER	Number of Nodules	Number of Nodules	STRING	PATIENT	1				
NODULE_SIZE	Nodule Size (mm)	Nodule Size (mm)	NUMBER	SAMPLE	1				
NONINVASIVE_BLADDER_CA_TX_TYPE	Noninvasive Bladder Cancer Treatment Type	Noninvasive Bladder Cancer Treatment Type	STRING	PATIENT	1				
NONINVASIVE_BLADDER_HISTORY	History of Noninvasive Bladder Cancer	History of Noninvasive Bladder Cancer	STRING	PATIENT	1				
NONSENSE_MUTATION	Nonsense Mutations	Nonsense Mutations	STRING	SAMPLE	1				
NONSILENT_DENSITY_AGE_FIT	Nonsilent Mutation Density Residual with Age Fit	Nonsilent Mutation Density Residual with Age Fit	NUMBER	SAMPLE	1				
NONSILENT_MUTATION_DENSITY	Nonsilent Mutation Density	Nonsilent Mutation Density	NUMBER	SAMPLE	1				
NONSILENT_PER_MB	Non Silent per Mb	Non Silent per Mb	STRING	SAMPLE	1				
NONSILENT_RATE	Nonsilent Mutation Rate	Nonsilent Mutation Rate	NUMBER	SAMPLE	1				
NONSTOP_MUTATION	Nonstop Mutations	Nonstop Mutations	STRING	SAMPLE	1				
NONSYNONYMOUS_MUTATION_BURDEN	Nonsynonymous Mutation Burden	Nonsynonymous Mutation Burden	NUMBER	PATIENT	1				
NONSYNONYMOUS_MUTATION_RATE	Non-synonymous Mutation Rate	Non-synonymous Mutation Rate	NUMBER	SAMPLE	1				
NON_SILENT_MUTATION	Non Silent Mutations	Non Silent Mutations	STRING	SAMPLE	1				
NON_SILENT_MUT_TP53_ATRX_CIC_FUBP1	Non-silent mutations in TP53, ATRX, CIC, FUBP1	Non-silent mutations in TP53, ATRX, CIC, FUBP1	STRING	SAMPLE	1				
NON_SILENT_SNV	Non-Slient SNVs	Non-Slient Single-Nucleotide Variants	NUMBER	SAMPLE	1				
NON_STANDARD_ADJUVANT	Non-Standard Adjuvant	Non-Standard Adjuvant	STRING	PATIENT	1				
NOREPINEPHRINE	Norepinephrine Secreting	Norepinephrine Secreting	STRING	SAMPLE	1				
NORMAL	Normal	Normal	STRING	SAMPLE	1				
NORMAL_EPITHELIUM_PERCENTAGE	% Normal Epithelium	% Normal Epithelium	NUMBER	SAMPLE	1				
NORMAL_EXOME_DEPTH	Normal Exome Depth	Normal Exome Depth	NUMBER	SAMPLE	1				
NORMAL_GENOME_COVERAGE	Normal Genome Coverage	Normal Genome Coverage	NUMBER	SAMPLE	1				
NORMAL_GENOME_LIBRARY	Normal Genome Library	Normal Genome Library	STRING	SAMPLE	1				
NORMAL_SITE	Normal location	Tissue where normal was derived.	STRING	SAMPLE	1				
NORMETANEPHRINE	Normetanephrine secreting	Normetanephrine secreting	STRING	SAMPLE	1				
NOSYSTXT	What is the number of prior systemic therapies (Inclusion of endocrine, cytotoxic, biologic therapies)?	What is the number of prior systemic therapies (Inclusion of endocrine, cytotoxic, biologic therapies)?	STRING	PATIENT	1				
NOTE	Note	Note.	STRING	SAMPLE	1				
NO_CHEMO_PROGRESSIVE	No Chemo Progressive	No Chemo Progressive	STRING	SAMPLE	1				
NO_CHEMO_PROGRESSIVE_PRIOR_BCG	No Chemo Progressive Prior Bcg	No Chemo Progressive Prior Bcg	STRING	SAMPLE	1				
NPI	Nottingham prognostic index	Nottingham prognostic index	NUMBER	PATIENT	1				
NPM1_NEGATIVE	Negative for NPM1	Negative for NPM1	STRING	SAMPLE	1				
NPM1_POSITIVE	Positive for NPM1	Positive for NPM1	STRING	SAMPLE	1				
NPM_MUTATION	NPM Mutation	NPM mutation.	STRING	SAMPLE	1				
NRAS_MUTATION	NRAS Mutation	NRAS Mutation	STRING	SAMPLE	1				
NRAS_STATUS	nras status	nras status	STRING	SAMPLE	1				
NSAID_USE	NSAID Used	NSAID Used	STRING	PATIENT	1				
NTAI	NtAI	NtAI	NUMBER	SAMPLE	1				
NTE_AFTER_INITIAL_TREATMENT	New Tumor Event After Initial Treatment	New Tumor Event After Initial Treatment	STRING	PATIENT	1				
NTE_CENT17_HER2_OTHER_SCALE	Nte cent17 HER2 other scale	Metastatic breast carcinoma pos finding other scale measurement text	STRING	SAMPLE	1				
NTE_CENT_17_HER2_RATIO	Nte cent 17 HER2 ratio	Metastatic breast carcinoma HER2 neu chromosone 17 signal ratio value	NUMBER	SAMPLE	1				
NTE_CENT_17_SIGNAL_NUMBER	Nte cent 17 signal number	Metastatic breast carcinoma fluorescence in situ hybridization diagnostic proc centromere 17 signal result range	STRING	SAMPLE	1				
NTE_ER_IHC_INTENSITY_SCORE	Nte er ihc intensity score	Metastatic breast carcinoma immunohistochemistry er pos cell score	STRING	SAMPLE	1				
NTE_ER_POSITIVITY_DEFINE_METHOD	Nte er positivity define method	Metastatic breast carcinoma estrogen receptor detection method text	STRING	SAMPLE	1				
NTE_ER_POSITIVITY_OTHER_SCALE	Nte er positivity other scale	Pos finding metastatic breast carcinoma estrogen receptor other measuremenet scale text	STRING	SAMPLE	1				
NTE_ER_STATUS	Nte er status	Metastatic breast carcinoma estrogen receptor status	STRING	SAMPLE	1				
NTE_ER_STATUS_IHC__POSITIVE	Nte er status ihc positive	Metastatic breast carcinoma estrogen receptor level cell percent category	STRING	SAMPLE	1				
NTE_HER2_FISH_DEFINE_METHOD	Nte HER2 fish define method	Metastatic breast carcinoma HER2 erbb pos finding fluorescence in situ hybridization calculation method text	STRING	SAMPLE	1				
NTE_HER2_FISH_STATUS	Nte HER2 fish status	Metastatic breast carcinoma lab proc HER2 neu in situ hybridization outcome type	STRING	SAMPLE	1				
NTE_HER2_POSITIVITY_IHC_SCORE	Nte HER2 positivity ihc score	Metastatic breast carcinoma erbb2 immunohistochemistry level result	STRING	SAMPLE	1				
NTE_HER2_POSITIVITY_METHOD	Nte HER2 positivity method	Metastatic breast carcinoma HER2 erbb method calculation method text	STRING	SAMPLE	1				
NTE_HER2_POSITIVITY_OTHER_SCALE	Nte HER2 positivity other scale	Metastatic breast carcinoma pos finding HER2 erbb2 other measure scale text	STRING	SAMPLE	1				
NTE_HER2_SIGNAL_NUMBER	Nte HER2 signal number	HER2 neu metastatic breast carcinoma copy analysis input total number	STRING	SAMPLE	1				
NTE_HER2_STATUS	Nte HER2 status	Metastatic breast carcinoma lab proc HER2 neu immunohistochemistry receptor status	STRING	SAMPLE	1				
NTE_HER2_STATUS_IHC__POSITIVE	Nte HER2 status ihc positive	Metastatic breast carcinoma HER2 erbb pos finding cell percent category	STRING	SAMPLE	1				
NTE_LESION_PATHOLOGIC_DEPTH	Nte lesion pathologic depth	Nte lesion pathologic depth	NUMBER	SAMPLE	1				
NTE_LESION_PATHOLOGIC_LENGTH	Nte lesion pathologic length	Nte lesion pathologic length	NUMBER	SAMPLE	1				
NTE_LESION_PATHOLOGIC_WIDTH	Nte lesion pathologic width	Nte lesion pathologic width	NUMBER	SAMPLE	1				
NTE_LESION_RADIOLOGIC_DEPTH	Nte lesion radiologic depth	Nte lesion radiologic depth	NUMBER	SAMPLE	1				
NTE_LESION_RADIOLOGIC_LENGTH	Nte lesion radiologic length	Nte lesion radiologic length	NUMBER	SAMPLE	1				
NTE_LESION_RADIOLOGIC_WIDTH	Nte lesion radiologic width	Nte lesion radiologic width	NUMBER	SAMPLE	1				
NTE_PR_IHC_INTENSITY_SCORE	Nte pr ihc intensity score	Metastatic breast carcinoma immunohistochemistry pr pos cell score	NUMBER	SAMPLE	1				
NTE_PR_POSITIVITY_DEFINE_METHOD	Nte pr positivity define method	Metastatic breast carcinoma progesterone receptor detection method text	STRING	SAMPLE	1				
NTE_PR_POSITIVITY_OTHER_SCALE	Nte pr positivity other scale	Metastatic breast carcinoma pos finding progesterone receptor other measure scale text	STRING	SAMPLE	1				
NTE_PR_STATUS_BY_IHC	Nte pr status by ihc	Metastatic breast carcinoma progesterone receptor status	STRING	SAMPLE	1				
NTE_PR_STATUS_IHC__POSITIVE	Nte pr status ihc positive	Metastatic breast carcinoma progesterone receptor level cell percent category	STRING	SAMPLE	1				
NUCLEAR_GRADE	Nuclear Grade	Nuclear Grade	STRING	PATIENT	1				
NUCLEAR_GRADE_III_IV	Nuclear Grade III IV	Nuclear Grade III IV	STRING	PATIENT	1				
NUMBER_DOSES_IT_THERAPY	Number of Doses IT Therapy	Number of Doses IT Therapy	STRING	PATIENT	1				
NUMBER_OF_LINES_OF_TREATMENT_FOR_MET_DISEASE	Number of Lines of Treatment For Met Disease	Number of Lines of Treatment For Met Disease	NUMBER	PATIENT	1				
NUMBER_OF_LINES_POST_IMPACT	Number of Lines post IMPACT	Number of Lines post IMPACT	STRING	PATIENT	1				
NUMBER_OF_LYMPHNODES_POSITIVE	Positive Finding Lymph Node	Positive Finding Lymph Node	STRING	SAMPLE	1				
NUMBER_OF_LYMPHNODES_POSITIVE_BY_HE	Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count	Numeric value to signify the count of positive lymph nodes identified through hematoxylin and eosin (H&E) staining light microscopy.	NUMBER	PATIENT	1				
NUMBER_OF_LYMPHNODES_POSITIVE_BY_IHC	Number of lymphnodes positive by ihc	Number of lymphnodes positive by ihc	STRING	PATIENT	1				
NUMBER_OF_ONCOGENIC_MUTATIONS	Number of Oncogenic Mutations	Number of Oncogenic Mutations	STRING	SAMPLE	1				
NUMBER_OF_PRIMARY_SITES	Number of Primary Sites	Number of Primary Sites	STRING	PATIENT	1				
NUMBER_OF_RELATIVES_DIAGNOSED	Number of relatives diagnosed	Number of relatives diagnosed	NUMBER	SAMPLE	1				
NUMBER_OF_RELATIVES_WITH_STOMACH_CANCER	Number of Relatives w/Stomach Cancer	Number of relatives with stomach cancer.	STRING	PATIENT	1				
NUMBER_OF_SITES	Number Of Sites	Number Of Sites	NUMBER	SAMPLE	1				
NUMBER_OF_TARGET_THERAPIES_RECEIVED	Number Of Targeted Therapies Received Relevant To Impact Results	Number Of Targeted Therapies Received Relevant To Impact Results	STRING	PATIENT	1				
NUMBER_OF_TUMORS	Number of Tumors	Number of Tumors	NUMBER	PATIENT	1				
NUMBER_OF_VIAL	Vial number	Vial number	STRING	SAMPLE	1				
NUMBER_PRIOR_THEARPY_REGIMENS	Number Prior Thearpy Regimens	Number Prior Thearpy Regimens	STRING	PATIENT	1				
NUMBER_VIAL	Vial Number	Vial Number	STRING	SAMPLE	1				
NUM_EXTRANODAL_SITES	Number of Extranodal Sites of Disease	Number of Extranodal Sites of Disease	NUMBER	PATIENT	1				
NUM_GENOME_WIDE_SOMATIC_MUTATIONS	Number of Genome-Wide Somatic Mutations	Number of Genome-Wide Somatic Mutations	NUMBER	SAMPLE	1				
NUM_MUT_APOBEC	APOBEC Mutation Number	APOBEC Mutation Number	NUMBER	SAMPLE	1				
NUM_MUT_CPGT	CpGT Mutation Number	CpGT Mutation Number	NUMBER	SAMPLE	1				
NUM_MUT_DBSNP	Number of mutations in dbSNP	Number of mutations in dbSNP	NUMBER	SAMPLE	1				
NUM_NONSILENT_MUTATION	Total Number of Nonsilent Mutation	Total Number of Nonsilent Mutation	NUMBER	SAMPLE	1				
NUM_PRIOR_THERAPIES	Number of Prior Therapies	Number of Prior Therapies	NUMBER	PATIENT	1				
NUM_SAMPLES_CAPTURE_MULTIPLEX	NUM SAMPLES CAPTURE MULTIPLEX	NUM SAMPLES CAPTURE MULTIPLEX	STRING	SAMPLE	1				
NUM_SILENT_MUTATION	Total Number of Silent Mutation	Total Number of Silent Mutation	NUMBER	SAMPLE	1				
NUM_SNV_WITHOUT_SNP	Number of SNVs (Without SNPs)	Number of SNVs (Without SNPs)	NUMBER	SAMPLE	1				
NUM_SOMATIC_MUTATION	Total Number of Somatic Mutations	Total Number of Somatic Mutations	NUMBER	SAMPLE	1				
NUP98_NSD1	NUP98-NSD1	NUP98 NSD1 gene fusion	STRING	SAMPLE	1				
N_POS_N_NEG	N+,N-	N+, N-	STRING	SAMPLE	1				
N_SCORE	N Score	N Score	NUMBER	PATIENT	1				
N_STAGE	N Stage	N Stage	STRING	PATIENT	1				
N_STAGE_REPORTED	MedR N Stage at Diagnosis	American Joint Committee on Cancer (AJCC) Summary Stage at Diagnosis. Using the AJCC method, a breast cancer is characterized by the size of the tumor (T), the number of lymph nodes it has spread to (N), and whether or not it has metastatsized (M). Together, the T, N, and M values are used to determine the Summary stage, e.g. Stage I, Stage II, Stage III, Stage IV	STRING	PATIENT	1				
OBSTRUCTION_WEEKS	Obstruction (Weeks)	Obstruction (Weeks)	NUMBER	PATIENT	1				
OCCUPATION_CURRENT	Occupation Current	The text that describes the type of business or industry associated with a person's job.	STRING	PATIENT	1				
OCCUPATION_PRIMARY	Occupation Primary	The primary occupation of the participant for most of their adult employment.	STRING	PATIENT	1				
OCCUPATION_PRIMARY_CHEMICAL_EXPOSURE	Occupation Primary Chemical Exposure	To specify an exposure to a substance with a defined atomic or molecular structure that results from, or takes part in, reactions involving changes in its structure, composition, or properties at work.	STRING	PATIENT	1				
OCCUPATION_PRIMARY_INDUSTRY	Occupation Primary Industry	Text to describe the industry in which a person's primary occupation time was spent.	STRING	PATIENT	1				
OCCUPATION_PRIMARY_OTHER	Occupation Primary Other	Occupation Primary Other	STRING	PATIENT	1				
OCCUPATION_PRIMARY_YEARS_WORKED	Occupation Primary Years Worked	The number that describes the duration of time expressed in number of years that a person has worked in a job.	NUMBER	PATIENT	1				
OCT_EMBEDDED	Oct embedded	Oct embedded	STRING	SAMPLE	1				
OFFICIAL_PATH	Official Pathology	Official pathology.	STRING	PATIENT	1				
OLAPARIB_DOSAGE	Olaparib Dosage (mg)	Olaparib Dosage (mg)	STRING	PATIENT	1				
OLIGOPROGRESSION	Oligoprogression	Oligoprogression	STRING	SAMPLE	1				
ONCOGENIC_ALTERATIONS	Oncogenic Alterations	Oncogenic Alterations	STRING	SAMPLE	1				
ONCOKB_LEVELS	OncoKB Levels	OncoKB Levels	STRING	SAMPLE	1				
ONCOPANEL_STATUS	Oncopanel status	Oncopanel status	STRING	PATIENT	1				
ONCOPANEL_TUMOR_TYPE	Oncopanel Tumor Type	Oncopanel Tumor Type	STRING	SAMPLE	1				
ONCOPRINT	Oncoprint	Oncoprint	STRING	SAMPLE	1				
ONCOSIGN_CLUSTER	Oncosign Cluster	Oncosign cluster.	STRING	SAMPLE	1				
ONCOSIGN_CLUSTER_2	Oncosign Cluster 2	Oncosign cluster 2	STRING	SAMPLE	1				
ONCOTREE_CODE	Oncotree Code	Oncotree Code	STRING	SAMPLE	1				
ONCOTREE_PRIMARY_NODE	Oncotree Primary Node	Oncotree Primary Node added by script	STRING	SAMPLE	1				
ONCOTREE_SECONDARY_NODE	Oncotree Secondary Node	Oncotree Secondary Node added by script	STRING	SAMPLE	1				
ONCOTYPE_OR_MAMAPRINT	Oncotype or Mamaprint	Oncotype or Mamaprint genomic assay	STRING	SAMPLE	1				
ONGOING_TREATMENT	Ongoing Treatment	Ongoing Treatment	STRING	PATIENT	1				
ORAL_CONTRACEPTION	Oral Contraception	Oral Contraception	STRING	PATIENT	1				
ORAL_CONTRACEPTION_YEARS	Oral Contraception Years	Oral Contraception Years	NUMBER	PATIENT	1				
ORIGINAL_SUBTYPE	Original Subtype	Original Subtype	STRING	SAMPLE	1				
OR_PERCENT	OR percent	OR Percent	STRING	SAMPLE	1				
OR_TIME	OR Date	OR Date from Diagnosis	NUMBER	PATIENT	1				
OS_DAYS	Overall Survival Days	Overall patient survival days	NUMBER	PATIENT	1				
OS_EVENT	Overall Survival Event	Overall Survival Event	STRING	PATIENT	1				
OS_MONTHS	Overall Survival (Months)	Overall survival in months since initial diagonosis.	NUMBER	PATIENT	1				
OS_MONTHS_ADDITIONAL	OS Months (Additonal Data)	OS Months (Additonal Data)	NUMBER	PATIENT	1				
OS_MONTHS_ADVANCED_DISEASE	Overall Survival from Advanced Disease	Overall Survival from Advanced Disease	NUMBER	PATIENT	1				
OS_MONTHS_DATE_DX	Survival Date of dx to date of death las FU months for early cases	Survival Date of dx to date of death las FU months for early cases	NUMBER	PATIENT	1				
OS_MONTHS_DMT	Overall Survival Months Reported by DMT	Overall Survival Months Reported by DMT	NUMBER	PATIENT	1				
OS_MONTHS_METS	Survival Date of mets to date of death or last FU (months)	Survival Date of mets to date of death or last FU (months)	NUMBER	PATIENT	1				
OS_MONTHS_PRIMARY	Overall Survival (Months) from Primary Diagnosis	Overall survival in months since primary diagonosis.	NUMBER	PATIENT	1				
OS_MONTHS_RECURRENCE	Overall Survival (Months), Recurrence	Overall Survival (Months), Recurrence	NUMBER	PATIENT	1				
OS_MONTHS_SEQUENCED	Overall Survival (Months), Sequenced	Overall Survival (Months), Sequenced	NUMBER	PATIENT	1				
OS_MONTHS_STAGE_IV	Overall Survival Stage IV Diagnosis (Months)	Overall survival in months since stage IV diagonosis	NUMBER	PATIENT	1				
OS_STATUS	Overall Survival Status	Overall patient survival status.	STRING	PATIENT	9				
OS_STATUS_DMT	Overall Status Reported by DMT	Overall Status reported by DMT	STRING	PATIENT	1				
OTHER_CANCER_TYPE	Types of Other Cancers	Types of Other Cancers	STRING	PATIENT	1				
OTHER_CHEMO	Other Chemotherapy	Other Chemotherapy.	STRING	PATIENT	1				
OTHER_DISEASES	Other Diseases	Other diagnosed diseases	STRING	PATIENT	1				
OTHER_DNP	other DNP	other DNP	STRING	SAMPLE	1				
OTHER_HEPATO_CARCINOMA_RISK_FACTORS	History hepato carcinoma risk factor other	History hepato carcinoma risk factor other	STRING	PATIENT	1				
OTHER_HYSTERECTOMY_TYPE	Hysterectomy performed text	Hysterectomy performed text	STRING	PATIENT	1				
OTHER_IMMUNOSUPPRESSIVE_DISEASE	Patient history immune system and related disorders text	Patient history immune system and related disorders text	STRING	PATIENT	1				
OTHER_INVOLVED_MARGINS	Cervical neoplasm pathologic margin involved text	Cervical neoplasm pathologic margin involved text	STRING	PATIENT	1				
OTHER_METHOD_OF_SAMPLE_PROCUREMENT	Specimen Collection Method	The type of procedure or method used to collect the specimen.	STRING	PATIENT	1				
OTHER_MLL	Other MLL	Other MLL.	STRING	PATIENT	1				
OTHER_PATIENT_ID	Other Patient ID	Legacy DMP patient identifier (DMPnnnn)	STRING	PATIENT	1				
OTHER_POS_NODE_LOCATION	Lymph node location positive pathology text	Lymph node location positive pathology text	STRING	PATIENT	1				
OTHER_SAMPLE_ID	Other Sample ID	Other sample identifier	STRING	SAMPLE	1				
OTHER_SITES_OF_METS	Other Metastasis Sites	Other Metastasis Sites Description	STRING	SAMPLE	1				
OTHER_SITE_OF_RELAPSE	Other Site of Relapse	Other Site of Relapse	STRING	SAMPLE	1				
OTHER_SKIN_TUMORS	Other Skin Tumors	Other Skin Tumors	STRING	PATIENT	1				
OTHER_SPECIFY_SECTION	Other Specify Section	Other Specify Section	STRING	PATIENT	1				
OTHER_SYMPTOM_DETAILS	Other Symptom Details	Other Symptom Details	STRING	PATIENT	1				
OTHER_SYMPTOM_DURATION	Other Symptom Duration (Weeks)	Other Symptom Duration (Weeks)	NUMBER	PATIENT	1				
OTHER_TREATMENT_RESPONSE	Other Treatment Responses	Other Treatment Responses	STRING	PATIENT	1				
OUTSIDE_INSTITUTE	Sample is from outside MSK	Indicates if the sample is from outside MSK	STRING	SAMPLE	1				
OUTSIDE_SURGICAL_PROCEDURES	Outside Surgical Procedures	Outside Surgical Procedures	STRING	PATIENT	1				
OVERALL_METASTATIC_BURDEN	Overall Metastatic Burden	Overall Metastatic Burden	STRING	PATIENT	1				
