#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	"The type of sample (i.e., normal, primary, met, recurrence)."	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE
KYSE70_OESOPHAGUS	KYSE70_OESOPHAGUS	1	2.69	1	ACH-000784	KYSE-70		Primary	Oesophagus	middle_third	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	DSMZ	Epitheloid cells growing in monolayers	RPMI 1640+10%FBS	NA	10%DMSO		62	esophagus	esophagus	Oesophagus:Carcinoma	201.4414623
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1_CENTRAL_NERVOUS_SYSTEM	0.98	3.45	2	ACH-001000	1321N1		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	glioma	glioma	NA	NA
GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	0.99	2.88	1	ACH-000098	GAMG		Primary	Central_Nervous_System	NS	NS	NS	NS	NS	NS	CCLE	DSMZ	"ADHERENT, LARGE, SPINDLE-LIKE CELLS GROWING AS MONOLAYERS"	DMEM+10% FBS	"2mM L-GLUTAMINE, 4X MEM NON-ESSENTIAL AMINO ACIDS"	5% DMSO	40-50 hrs	33	glioma	glioma	CNS:Glioma	74.35849532
NCIH522_LUNG	NCIH522_LUNG	1	2.42	1	ACH-000343	NCI-H522		Primary	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	GNF						NA	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	95.03061174
EN_ENDOMETRIUM	EN_ENDOMETRIUM	0.99	2.02	0	ACH-000978	EN		Primary	Endometrium	NS	NS	NS	NS	NS	NS	CCLE	DSMZ	adherent epitheloid cells growing in monolayers	DMEM+20% FBS	NA	5% DMSO	50-80 hrs	93.9	endometrium	endometrium	Endometrium:Carcinoma	1022.278488
PK59_PANCREAS	PK59_PANCREAS	1	3.46	1	ACH-000205	PK-59		Primary	Pancreas	NS	NS	NS	NS	NS	NS	CCLE	JCRB	Epithelial like	RPMI 1640+10%FBS	NA			53.8	pancreas	pancreas	Pancreas:Carcinoma	130.923183
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB19_CENTRAL_NERVOUS_SYSTEM	1	2.84	1	ACH-001198	SNB-19		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	glioma	glioma	NA	NA
COLO741_SKIN	COLO741_SKIN	1	1.77	0	ACH-000582	COLO 741	pelvic_wall	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	GNF						NA	melanoma	melanoma	Skin:Melanoma	127.682666
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.49	1	ACH-000190	HD-MY-Z	pleura	Metastasis	Haematopoietic_And_Lymphoid_Tissue	lymph_node	NS	NS	Hodgkin_lymphoma	NS	NS	CCLE		Variable morphology	RPMI-1640+10% FBS	NA	5%DMSO		43.6	lymphoma_Hodgkin	lymphoma_Hodgkin	Lymphoma:Hodgkin	105.1129182
NCIH661_LUNG	NCIH661_LUNG	1	1.35	0	ACH-000853	NCI-H661	lymph_node	Metastasis	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	ATCC	adherent	RPMI 1640+10%FBS	NA	5%DMSO		59.5	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	209.1259946
LNCAPCLONEFGC_PROSTATE	LNCAPCLONEFGC_PROSTATE	1	1.97	0	ACH-000977	LNCaP clone FGC	lymph_node	Metastasis	Prostate	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						53	prostate	prostate	Prostate:Carcinoma	826.0027861
LS411N_LARGE_INTESTINE	LS411N_LARGE_INTESTINE	0.98	3.41	1	ACH-000985	LS411N		Primary	Large_Intestine	caecum	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	adherent epithelial	RPMI-1640+10% FBS	NA	5% DMSO		69.9	colorectal	colorectal	Colorectal:Carcinoma	1024.430529
HCC78_LUNG	HCC78_LUNG	0.97	2.15	0	ACH-000562	HCC-78	pleura	Metastasis	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	DSMZ	Adhrent and aggregates; dt=60-70hrs	RPMI-1640+10%FBS	NA	10% DMSO	60-70 hrs	33	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	101.6889757
YKG1_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM	0.98	3.19	1	ACH-000570	YKG1		Primary	Central_Nervous_System	temporal_lobe	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	GNF						NA	glioma	glioma	CNS:Glioma_HighGrade	162.4755531
ESS1_ENDOMETRIUM	ESS1_ENDOMETRIUM	0.9	2.03	0	ACH-000913	ESS-1		Primary	Endometrium	NS	NS	NS	carcinosarcoma-malignant_mesodermal_mixed_tumour	NS	NS	CCLE					5% DMSO	120hrs??	49.1	endometrium	endometrium	Endometrium:Others	369.3726971
U251MG_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	1	2.87	1	ACH-000232	U-251 MG		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma	NS	NS	CCLE	GNF						NA	glioma	glioma	CNS:Glioma	78.37300866
TE11_OESOPHAGUS	TE11_OESOPHAGUS	1	2.82	1	ACH-000488	TE-11		Primary	Oesophagus	NS	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	GNF						NA	esophagus	esophagus	Oesophagus:Carcinoma	161.0920797
KS1_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	0.99	1.9	0	ACH-000631	KS-1		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	GNF						NA	glioma	glioma	CNS:Glioma_HighGrade	181.7136747
HEC1A_ENDOMETRIUM	HEC1A_ENDOMETRIUM	1	2.14	0	ACH-000954	HEC-1-A		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	endometrium	endometrium	Endometrium:Carcinoma	941.9709071
TE1_OESOPHAGUS	TE1_OESOPHAGUS	0.99	2.71	1	ACH-000647	TE-1		Primary	Oesophagus	NS	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	JCRB	Epithelial like	RPMI 1640+10%FBS	NA			94.3	esophagus	esophagus	Oesophagus:Carcinoma	181.4703636
JHUEM2_ENDOMETRIUM	JHUEM2_ENDOMETRIUM	0.93	2.18	0	ACH-000909	JHUEM-2		Primary	Endometrium	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	GNF						NA	endometrium	endometrium	Endometrium:Carcinoma	353.0598376
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	1	1.93	0	ACH-001126	MOG-G-UVW		Primary	Central_Nervous_System	brain	NS	NS	astrocytoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	glioma	glioma	NA	NA
RERFLCAD1_LUNG	RERFLCAD1_LUNG	1	3.48	1	ACH-000791	RERF-LC-Ad1		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	HSRRB	ADHERENT	RPMI-1640+10% FBS	NA	5% DMSO		194.7	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	211.7713008
TE5_OESOPHAGUS	TE5_OESOPHAGUS	1	2.98	1	ACH-000408	TE-5		Primary	Oesophagus	NS	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	Riken	Epithelial-like	RPMI+10%FBS	NA	5%DMSO		NA	esophagus	esophagus	Oesophagus:Carcinoma	132.1647346
KELLY_AUTONOMIC_GANGLIA	KELLY_AUTONOMIC_GANGLIA	0.99	2.08	0	ACH-000259	KELLY		Primary	Autonomic_Ganglia	NS	NS	NS	NS	NS	NS	CCLE					5% DMSO		40.9	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	94.73768069
NCIH1155_LUNG	NCIH1155_LUNG	1	2.08	1	ACH-000980	NCI-H1155	lymph_node	Metastasis	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	ATCC	clusters in suspension	DMEM:F12	plethora; see sheet	5% DMSO		53	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	686.7647964
TE15_OESOPHAGUS	TE15_OESOPHAGUS	1	2.77	1	ACH-000353	TE-15		Primary	Oesophagus	NS	NS	NS	squamous_cell_carcinoma	NS	NS	CCLE	GNF						NA	esophagus	esophagus	Oesophagus:Carcinoma	131.4062314
ABC1_LUNG	ABC1_LUNG	1	2.53	1	ACH-000528	ABC-1		Primary	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	HSRRB	Adherent; 0.25% TRYPSIN	EMEM+10% FBS	NA	5% DMSO		40.12291	lung_NSC	lung_NSC	Lung:NSCLC_Others	146.9349526
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	1	2.31	1	ACH-000137	8-MG-BA		Primary	Central_Nervous_System	frontal_lobe	NS	NS	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	DSMZ	Adherent	EMEM + 20% FBS	NA	5% DMSO		43	glioma	glioma	CNS:Glioma_HighGrade	88.33759451
NCIH1703_LUNG	NCIH1703_LUNG	1	2.44	1	ACH-000747	NCI-H1703		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	Adherent	RPMI+10%FBS	NA	5% DMSO		41.1	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	166.6783902
AGS_STOMACH	AGS_STOMACH	1	2.1	0	ACH-000880	AGS		Primary	Stomach	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	279.1727872
QGP1_PANCREAS	QGP1_PANCREAS	1	4.13	2	ACH-000347	QGP-1		Primary	Pancreas	NS	NS	NS	NS	NS	NS	CCLE	HSRRB	adherent epithelial	RPMI-1640 + 10% FBS	NA	5%DMSO		92.1	pancreas	pancreas	Pancreas:Carcinoma	136.6267225
DETROIT562_UPPER_AERODIGESTIVE_TRACT	DETROIT562_UPPER_AERODIGESTIVE_TRACT	0.99	3.02	1	ACH-000207	Detroit 562	pleura	Metastasis	Upper_Aerodigestive_Tract	pharynx	NS	NS	NS	NS	NS	CCLE	ATCC				5%DMSO		60.6	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	92.96836238
BT474_BREAST	BT474_BREAST	1	2.68	1	ACH-000927	BT-474		Primary	Breast	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	NIBRI						NA	breast	breast	Breast:Carcinoma	359.6409124
ACHN_KIDNEY	ACHN_KIDNEY	1	1.22	0	ACH-000046	ACHN	pleura	Metastasis	Kidney	NS	NS	NS	renal_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	EMEM +10%FBS	NA	5% DMSO		284.1	kidney	kidney	Kidney:Carcinoma	68.18873896
LOVO_LARGE_INTESTINE	LOVO_LARGE_INTESTINE	1	2.2	0	ACH-000950	LoVo	lymph_node	Metastasis	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	453.4224896
NCIH1581_LUNG	NCIH1581_LUNG	1	1.66	0	ACH-000015	NCI-H1581		Primary	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	ATCC	Mixed	DMEM:F12	plethora; see sheet	5% DMSO		34.1	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	105.484781
SCABER_URINARY_TRACT	SCABER_URINARY_TRACT	1	3.24	1	ACH-000839	SCaBER		Primary	Urinary_Tract	bladder	NS	NS	transitional_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent epithelial	EMEM +10%FBS	2 mM L-Glutamine ; 1.5 g/L sodium bicarbonate; 0.1 mM NEAA; 1.0 mM sodium pyruvate	5%DMSO		52.6	urinary_tract	urinary_tract	Bladder:Carcinoma	173.1708489
SKMEL30_SKIN	SKMEL30_SKIN	1	3.84	1	ACH-000810	SK-MEL-30	skin	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	DSMZ	Adherent	RPMI-1640 + 10% FBS	NA	10%DMSO		41.6	melanoma	melanoma	Skin:Melanoma	180.5771581
OVKATE_OVARY	OVKATE_OVARY	1	2.02	0	ACH-000443	OVKATE		Primary	Ovary	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI		RPMI-1640+10% FBS	NA	5% DMSO		96	ovary	ovary	Ovary:Carcinoma	NA
22RV1_PROSTATE	22RV1_PROSTATE	0.99	2.13	0	ACH-000956	22Rv1		Primary	Prostate	NS	NS	NS	NS	NS	NS	CCLE	ATCC	Adherent epithelial	RPMI-1640+10% FBS	NA	5%DMSO		58.4	prostate	prostate	Prostate:Carcinoma	539.8308684
C32_SKIN	C32_SKIN	1	2.11	0	ACH-000580	C32		Primary	Skin	NS	NS	NS	NS	NS	NS	CCLE	ATCC	ADHERENT	EMEM+10%FBS	NA	5% DMSO		59	melanoma	melanoma	Skin:Melanoma	125.507998
PANC0327_PANCREAS	PANC0327_PANCREAS	1	3.32	1	ACH-000139	Panc 03.27		Primary	Pancreas	NS	NS	NS	ductal_carcinoma	NS	NS	CCLE	ATCC	ADHERENT EPITHELIAL;	RPMI-1640+15% FBS	10 UNITS/ML INSULIN	5% DMSO		85.9	pancreas	pancreas	Pancreas:Carcinoma	87.6416756
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.99	2.98	1	ACH-000817	RPMI 8226		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	plasma_cell_myeloma	NS	NS	CCLE	ATCC	"Lymphoblast, suspension"	RPMI-1640+ 10% FBS	NA	5% DMSO		76.6	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	169.3069282
DLD1_LARGE_INTESTINE	DLD1_LARGE_INTESTINE	0.99	2.02	0	ACH-001061	DLD-1		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	colorectal	colorectal	NA	NA
ES2_OVARY	ES2_OVARY	1	3.23	1	ACH-000906	ES-2		Primary	Ovary	NS	NS	NS	clear_cell_carcinoma	NS	NS	CCLE	ATCC	ADHERENT FIBROBLASTS	McCOY'S5A + 10%FBS	NA	5% DMSO		25.8	ovary	ovary	Ovary:Carcinoma	317.8007086
NCIH1395_LUNG	NCIH1395_LUNG	0.97	2.73	1	ACH-000327	NCI-H1395		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	adherent	RPMI+10%FBS	NA	5% DMSO		94.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	93.0620724
NCIH1781_LUNG	NCIH1781_LUNG	1	2.51	1	ACH-000379	NCI-H1781	pleura	Metastasis	Lung	NS	NS	NS	bronchioloalveolar_adenocarcinoma	NS	NS	CCLE	ATCC	Adherent			5%DMSO		197.3	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	89.94197218
LS1034_LARGE_INTESTINE	LS1034_LARGE_INTESTINE	1	3.11	1	ACH-000252	LS1034		Primary	Large_Intestine	caecum	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	adherent epithelial	RPMI-1640+ 10% FBS	NA	5% DMSO		93.9	colorectal	colorectal	Colorectal:Carcinoma	80.78238474
G402_SOFT_TISSUE	G402_SOFT_TISSUE	0.99	2.09	0	ACH-000375	G-402		Primary	Soft_Tissue	striated_muscle	kidney	NS	NS	NS	NS	CCLE					5% DMSO		42.1	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Rhabdoid	97.12610232
NCIH146_LUNG	NCIH146_LUNG	1	3.08	1	ACH-000506	NCI-H146	pleura	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Suspension; multicell aggregates	RPMI+10%FBS	NA	5%DMSO		123.4	lung_small_cell	lung_small_cell	Lung:SCLC	126.0743491
SW48_LARGE_INTESTINE	SW48_LARGE_INTESTINE	0.99	2.09	0	ACH-000958	SW48		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	563.7096269
CHP212_AUTONOMIC_GANGLIA	CHP212_AUTONOMIC_GANGLIA	1	2.04	0	ACH-000120	CHP-212		Primary	Autonomic_Ganglia	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						93.8	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	89.60933679
LS180_LARGE_INTESTINE	LS180_LARGE_INTESTINE	1	2	0	ACH-000957	LS 180		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	colorectal	colorectal	Colorectal:Carcinoma	529.8257616
SW403_LARGE_INTESTINE	SW403_LARGE_INTESTINE	1	3.04	1	ACH-000820	SW403		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	177.3707209
NCIH747_LARGE_INTESTINE	NCIH747_LARGE_INTESTINE	1	3.1	1	ACH-000403	NCI-H747	lymph_node	Metastasis	Large_Intestine	caecum	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	123.0807102
RT4_URINARY_TRACT	RT4_URINARY_TRACT	0.98	3.8	1	ACH-000242	RT4		Primary	Urinary_Tract	bladder	NS	NS	transitional_cell_carcinoma	papillary_transitional_cell_carcinoma	NS	CCLE	ATCC	Adherent epithelial	McCoy's 5A +10%	NA	5%DMSO		103.6	urinary_tract	urinary_tract	Bladder:Carcinoma	89.00340325
KATOIII_STOMACH	KATOIII_STOMACH	0.98	3.68	2	ACH-000793	KATO III	pleura	Metastasis	Stomach	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	Mixed adherent and suspension (spherical)	IMDM + 20%FBS		5%DMSO		48.7	stomach	stomach	Gastric:Carcinoma	213.4511981
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2	0	ACH-000080	BDCM		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_lymphoblastic_B_cell_leukaemia	NS	NS	CCLE	NIBRI						NA	B-cell_ALL	B-cell_ALL	Leukemia:ALL	83.25472569
SW1417_LARGE_INTESTINE	SW1417_LARGE_INTESTINE	1	3.12	1	ACH-000236	SW1417		Primary	Large_Intestine	colon	sigmoid	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	93.40282504
SW948_LARGE_INTESTINE	SW948_LARGE_INTESTINE	1	2.95	1	ACH-000680	SW948		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	145.6289472
HS606T_FIBROBLAST	HS606T_FIBROBLAST	0.99	2	0	ACH-000540	Hs 606.T		Primary	Breast	NS	NS	NS	NS	NS	NS	CCLE	ATCC	adherent fibroblast	DMEM+10% FBS	NA	5% DMSO		365	breast	fibroblast_like	NA	110.7616206
MDAMB415_BREAST	MDAMB415_BREAST	1	1.63	0	ACH-000876	MDA-MB-415	pleura	Metastasis	Breast	NS	NS	NS	NS	NS	NS	CCLE	ATCC	adherent epithelial	RPMI-1640 + 15% FBS	0.01 mg/ml insulin; 0.01 mg/ml glutathione	5%DMSO		184.8	breast	breast	Breast:Carcinoma	229.0732806
DMS79_LUNG	DMS79_LUNG	1	3.56	1	ACH-000703	DMS 79		Primary	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Suspension; multicell aggregates	RPMI-1640+10%FBS	NA	5% DMSO		244	lung_small_cell	lung_small_cell	Lung:SCLC	154.1632015
NCIH2106_LUNG	NCIH2106_LUNG	1	3.54	1	ACH-000904	NCI-H2106	lymph_node	Metastasis	Lung	NS	NS	NS	non_small_cell_carcinoma	NS	NS	CCLE	GNF						NA	lung_NSC	lung_NSC	Lung:NSCLC_Others	259.7926564
SW579_THYROID	SW579_THYROID	0.98	3.5	1	ACH-000163	SW579		Primary	Thyroid	NS	NS	NS	anaplastic_carcinoma	NS	NS	CCLE	GNF						45	thyroid	thyroid	Thyroid:Carcinoma	90.3074789
MDAMB468_BREAST	MDAMB468_BREAST	0.99	1.58	0	ACH-000849	MDA-MB-468	pleura	Metastasis	Breast	NS	NS	NS	NS	NS	NS	CCLE	ATCC	adherent epithelial	DMEM+10% FBS	NA	5% DMSO		63.5	breast	breast	Breast:Carcinoma	188.2526523
NCIH526_LUNG	NCIH526_LUNG	0.99	3.08	1	ACH-000767	NCI-H526	bone_marrow	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	round clusters in suspension	RPMI-1640+10%FBS	NA	5% DMSO		315	lung_small_cell	lung_small_cell	Lung:SCLC	178.8354237
TOV112D_OVARY	TOV112D_OVARY	1	1.07	0	ACH-000048	TOV-112D		Primary	Ovary	NS	NS	NS	endometrioid_carcinoma	NS	NS	CCLE	ATCC	adherent;	MCDB 105:MEDIUM 199 (1:1) +15% FBS	NA	5% DMSO		35.5	ovary	ovary	Ovary:Carcinoma	71.79702895
BT549_BREAST	BT549_BREAST	1	1.34	0	ACH-000288	BT-549		Primary	Breast	NS	NS	NS	ductal_carcinoma	papillary	NS	CCLE	ATCC	Adherent	RPMI + 10 % FBS	NA	5%DMSO		98.4	breast	breast	NA	100.4679692
NCIH2196_LUNG	NCIH2196_LUNG	1	1.79	0	ACH-000399	NCI-H2196	bone_marrow	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	DMEM:F12+5% FBS	"5ug/ml insulin, 10ug/ml transferrin, 30nM Na Selenite, 10nM Hydrocortisone, 10nM Beta-estradiol, 10mM HEPES, 2mM L-glutamine"	5% DMSO		89.9	lung_small_cell	lung_small_cell	Lung:SCLC	102.005835
CAL851_BREAST	CAL851_BREAST	1	2.65	1	ACH-000857	CAL-85-1		Primary	Breast	NS	NS	NS	NS	NS	NS	CCLE	DSMZ		DMEM+10% FBS	NA	5% DMSO		58.4	breast	breast	Breast:Carcinoma	176.8432245
EFO21_OVARY	EFO21_OVARY	1	2.88	1	ACH-000308	EFO-21	ascites	Metastasis	Ovary	NS	NS	NS	serous_carcinoma	NS	NS	CCLE	NIBRI						NA	ovary	ovary	Ovary:Carcinoma	104.5920312
A375_SKIN	A375_SKIN	0.99	2.76	1	ACH-000219	A-375		Primary	Skin	NS	NS	NS	NS	NS	NS	CCLE	ATCC	Adherent	DMEM +10%FBS	NA	5%DMSO		30.8	melanoma	melanoma	Skin:Melanoma	150.0581377
HT29_LARGE_INTESTINE	HT29_LARGE_INTESTINE	1	3.12	1	ACH-000552	HT-29		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	110.863065
NCIH446_LUNG	NCIH446_LUNG	1	3.16	1	ACH-000800	NCI-H446	pleura	Metastasis	Lung	NS	NS	NS	small_cell_carcinoma	NS	NS	CCLE	ATCC	Mixed; adherent and suspension	RPMI-1640+10%FBS	NA	5% DMSO		294	lung_small_cell	lung_small_cell	Lung:SCLC	177.0097006
HS294T_SKIN	HS294T_SKIN	1	3.07	1	ACH-000014	Hs 294T	lymph_node	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	ATCC	Adherent	DMEM +10%FBS	NA	5%DMSO		67.5	melanoma	melanoma	Skin:Melanoma	73.81343009
SKMEL5_SKIN	SKMEL5_SKIN	0.99	2.81	1	ACH-000730	SK-MEL-5	axillary_node	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	melanoma	melanoma	Skin:Melanoma	138.4460038
HS944T_SKIN	HS944T_SKIN	1	2.75	1	ACH-000632	Hs 944.T	lymph_node	Metastasis	Skin	NS	NS	NS	NS	NS	NS	CCLE	NIBRI						NA	melanoma	melanoma	Skin:Melanoma	111.4636539
TCCPAN2_PANCREAS	TCCPAN2_PANCREAS	1	3.31	1	ACH-000502	TCC-PAN2		Primary	Pancreas	NS	NS	NS	NS	NS	NS	CCLE	HSRRB	adherent epithelial	RPMI-1640 + 10% FBS	NA	5%DMSO		83.3	pancreas	pancreas	Pancreas:Carcinoma	181.2273729
DOV13_OVARY	DOV13_OVARY	1	3.21	1	ACH-001063	DOV13		Primary	Ovary	NS	NS	NS	NS	NS	NS	CCLE	Acd Lab	Suspension	RPMI-1640+10%FBS	NA	5%DMSO		29	ovary	ovary	Ovary:Carcinoma	NA
RMGI_OVARY	RMGI_OVARY	0.99	2.18	0	ACH-000719	RMG-I		Primary	Ovary	NS	NS	NS	clear_cell_carcinoma	NS	NS	CCLE	NIBRI						NA	ovary	ovary	Ovary:Carcinoma	217.4137109
PC3_PROSTATE	PC3_PROSTATE	1	3.09	1	ACH-000090	PC-3	bone	Metastasis	Prostate	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	ATCC	ADHERENT EPITHELIAL;	F-12 +10%FBS	NA	5% DMSO		42.3	prostate	prostate	Prostate:Carcinoma	80.19387358
